nta_code,nta_name,population,source,source_url
QN1203,Baisley Park,43090,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1204,Springfield Gardens (North)-Rochdale Village,32883,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1205,St. Albans,51816,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1206,Hollis,24576,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1301,Glen Oaks-Floral Park-New Hyde Park,24934,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1302,Bellerose,26854,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1303,Queens Village,54599,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1304,Cambria Heights,19412,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1305,Laurelton,26088,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1306,Springfield Gardens (South)-Brookville,23104,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1307,Rosedale,29325,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1401,Far Rockaway-Bayswater,59719,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1402,Rockaway Beach-Arverne-Edgemere,41379,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,24146,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0101,St. George-New Brighton,20557,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,19027,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0103,Rosebank-Shore Acres-Park Hill,25542,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0104,West New Brighton-Silver Lake-Grymes Hill,37010,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0105,Westerleigh-Castleton Corners,31458,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0106,Port Richmond,22609,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0107,Mariner’s Harbor-Arlington-Graniteville,33492,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,36277,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
